,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,true_value,prediction,mse_loss
29,0.6583359716205974,-0.4896385167169952,1.0483323807661988,-0.2798513233382808,0.6591472633012564,-0.0977805754198449,1.1484420161787436,-1.2482921138742482,1.6612452539705709,1.530926459469711,0.8065758349537706,0.1038979131006699,-0.4546846045904924,2.989460074199074,-0.45607300147810886,11.871698175585465
32,0.1105728533113222,-0.4896385167169952,1.0483323807661988,-0.2798513233382808,1.4106819787799734,-3.880249360477941,0.7070349494898082,-1.0371806793565437,1.6612452539705709,1.530926459469711,0.8065758349537706,-0.0216439900976341,-0.798684998599135,0.5406168300302154,-1.091789423110296,2.6647501752922436
14,-0.3597584875545763,0.383785300953989,-1.0629730871965513,-0.2798513233382808,0.1754007797747253,1.6887414044155034,-0.5807063277101451,-0.4387860075013611,-0.5230014462035358,-0.8566652614311143,-2.5224341139570474,0.3686871674446916,-1.3639304592938342,2.2820164703280703,1.1704805207137716,1.2355121672849607
28,1.8737991189512937,-7.757561861074651e-17,1.0483323807661988,-0.2798513233382808,1.004680465820207,1.4650699922670585,1.07183417815835,-1.1783177766506363,1.6612452539705709,1.530926459469711,0.8065758349537706,0.4410519326070325,0.1034239184691726,-0.8198516389524837,-0.16907009532262846,0.4235166175292571
27,4.06918316138008,-0.4896385167169952,1.0483323807661988,-0.2798513233382808,1.194723727205629,-1.1847951452877643,1.1484420161787436,-1.0959363049057178,1.6612452539705709,1.530926459469711,0.8065758349537706,0.4410519326070325,2.551393527285862,-1.9082264141386431,-1.262468039267131,0.41700387871669636
44,-0.418912870279978,3.0040567539669416,-1.1122817074674434,-0.2798513233382808,-1.4054136217494724,-0.5821645252954577,-1.8027837437497607,2.578999896008534,-0.9828428567665056,-0.5537618341526515,-0.950401638082495,0.4221932362313924,-0.4946514553466832,-0.1777105215926498,0.4121307719843869,0.34791275160863205
0,-0.4223284613462184,0.2964429191868906,-1.311010389165282,-0.2798513233382808,-0.1442174325553031,0.4136718893017581,-0.1210592995877822,0.140213603492929,-0.9828428567665056,-0.6666082090210984,-1.4590003802772022,0.4410519326070325,-1.1041459293785936,0.1596856587150597,0.7363071676337425,0.33249236454765857
21,0.4441692754126221,-0.4896385167169952,1.0483323807661988,-0.2798513233382808,0.3654440411601482,-0.9511511224065868,1.07183417815835,-1.1125266878480011,1.6612452539705709,1.530926459469711,0.8065758349537706,-0.4608761859163296,1.953318153470006,-0.5804091884115288,-1.1361271547459526,0.3088224581068678
10,-0.4198721875238912,-0.4896385167169952,-0.599770896773018,-0.2798513233382808,-0.7402622069004932,1.282713681725651,-0.2706269833418844,0.5571598750882428,-0.8678825041257632,-0.9873294849630004,-0.3030941480165015,0.3964269940902554,-1.239747744444241,1.3242466681642504,0.7708315124166415,0.3062683346111502
50,-0.4187289718583732,0.383785300953989,-1.1586019265097969,-0.2798513233382808,-0.965722621544108,0.973562749010922,5.184108838826404e-16,0.6891223480045111,-0.5230014462035358,-1.1417508400461382,-1.6439453774389146,0.3898483790754975,-1.1598140429318595,1.4004329024272812,0.8623712129206954,0.2895103817146816
