Degree	Train MSE	Test MSE	Train Variance	Test Variance	Train Std Dev	Test Std Dev
1	0.22682390786866352	0.15051601812856366	0.2240490573936985	0.14816482046346158	0.4733382061419704	0.38492183682334985
2	0.06801596881125446	0.035119731245665295	0.06715867715433323	0.034789620986656146	0.2591499125107574	0.18651976031149126
3	0.06336518504884817	0.03328570379635692	0.0624935803312225	0.03295921388449515	0.24998716033273088	0.18154672644940517
4	0.03366177262997484	0.01836224473273693	0.03291720092025866	0.01800765568579815	0.1814309811478146	0.13419260667338626
5	0.032865178937746986	0.01915387832843368	0.032106939765433	0.018786333393926748	0.1791840946217967	0.13706324596304711
6	0.020396588123314876	0.019861411024985183	0.01967155872835978	0.0179166944337808	0.14025533404601687	0.13385325709066925
7	0.018724782730612063	0.016522591600003085	0.01813227811502276	0.014897426663139183	0.13465614770600992	0.1220550149036867
8	0.01771586666012437	0.014762322393466734	0.017234361154747614	0.013515206944711117	0.13127970579928802	0.11625492223863519
9	0.01702188098517816	0.013842460204963268	0.01654132689612557	0.01264943651019368	0.12861308990971942	0.11246971374638455
10	0.0161935232352925	0.012999330221277772	0.015786374860059547	0.011983895697460929	0.12564384131368933	0.10947098107471646
11	0.018821015283235713	0.01831184444525424	0.0186238981239663	0.017041760946325438	0.1364694036184166	0.1305440957926686
12	0.023449476787967362	0.024041471320072394	0.022763309699261384	0.020994975016209103	0.15087514606210456	0.14489642858334742
13	0.028278288827695244	0.023521986600465134	0.027487030204734177	0.021808731512970022	0.16579212950177755	0.147677796276116
14	0.02692617227859344	0.02524640931763752	0.026104951943743366	0.022917442407917345	0.16157026936829488	0.15138507987221642
15	0.027568947848065812	0.022711166292143332	0.02677098709595389	0.021114067714290263	0.16361841918303052	0.14530680546447322
16	0.02602741736059875	0.025037209839811506	0.025469264212926324	0.023522012533619165	0.15959092772750688	0.15336887733050394
17	0.024780060375826116	0.024636544353435052	0.0244483989268813	0.02359818999753856	0.1563598379600123	0.15361702378818098
18	0.02075045429985439	0.020202752633111644	0.020744256861862646	0.020202752141935208	0.14402866680582255	0.142136385707303
19	0.026520627665700815	0.020927281317017557	0.025725121442625846	0.019574263731241524	0.16039052790805897	0.1399080545617068
20	0.026218571284062464	0.020062643075005923	0.025424287262705885	0.018739443879729534	0.15944995221920227	0.13689208844827203
